순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
1,P2000120140320000078952,문화유산의 보존과 가치창출로 민족문화 발전에 기여, ,임무,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"""
2,P2000220140321000069338,문화유산 보호체계 고도화로 지역경제 활력을 증진한다.,P2000120140320000078952,전략목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다."
3,P2000320140619000081727,문화재 안전관리 체계를 고도화한다(Ⅰ-2),P2000220140321000069338,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 안전관리 체계를 고도화한다(Ⅰ-2)"
4,P2000420140619000081730,문화재 수리 관리 체계 개선(Ⅰ-2-③),P2000320140619000081727,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 안전관리 체계를 고도화한다(Ⅰ-2)>>문화재 수리 관리 체계 개선(Ⅰ-2-③)"
5,P2000420140619000081729,문화재 점검 관리 체계 강화(Ⅰ-2-②),P2000320140619000081727,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 안전관리 체계를 고도화한다(Ⅰ-2)>>문화재 점검 관리 체계 강화(Ⅰ-2-②)"
6,P2000420140619000081728,예방적 문화재 안전관리 체계 구축(Ⅰ-2-①),P2000320140619000081727,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 안전관리 체계를 고도화한다(Ⅰ-2)>>예방적 문화재 안전관리 체계 구축(Ⅰ-2-①)"
7,P2000320140619000081676,문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1),P2000220140321000069338,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)"
8,P2000420140619000081681,건조물 동산문화재 보존 및 접근성 강화(Ⅰ-1-③),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>건조물 동산문화재 보존 및 접근성 강화(Ⅰ-1-③)"
9,P2000420140619000081720,고도 역사문화환경 정체성 회복(Ⅰ-1-⑥),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>고도 역사문화환경 정체성 회복(Ⅰ-1-⑥)"
10,P2000420140619000081699,근 현대 문화유산 체계적 조사 보호(Ⅰ-1-④),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>근 현대 문화유산 체계적 조사 보호(Ⅰ-1-④)"
11,P2000420130621000076188,무형문화재 전승체계 정립 활성화(Ⅰ-1-①),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>무형문화재 전승체계 정립 활성화(Ⅰ-1-①)"
12,P2000420140619000081680,소통 협력형 매장문화재 보존관리(Ⅰ-1-②),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>소통 협력형 매장문화재 보존관리(Ⅰ-1-②)"
13,P2000420140619000081722,역사문화환경 관리 체계 개선(Ⅰ-1-⑦),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>역사문화환경 관리 체계 개선(Ⅰ-1-⑦)"
14,P2000420140619000081706,자연유산 보호 활용기반조성(Ⅰ-1-⑤),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>자연유산 보호 활용기반조성(Ⅰ-1-⑤)"
15,P2000320140620000081779,문화재 조사 연구 교육역량을 강화한다(Ⅰ-3),P2000220140321000069338,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)"
16,P2000420140620000081780,문화재 조사 연구 경쟁력 강화(Ⅰ-3-①),P2000320140620000081779,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)>>문화재 조사 연구 경쟁력 강화(Ⅰ-3-①)"
17,P2000420130621000076200,수중문화재 조사 및 보존·활용(Ⅰ-3-④),P2000320140620000081779,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)>>수중문화재 조사 및 보존·활용(Ⅰ-3-④)"
18,P2000420140620000081782,전통문화교육원 교육과정 내실화(Ⅰ-3-③),P2000320140620000081779,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)>>전통문화교육원 교육과정 내실화(Ⅰ-3-③)"
19,P2000420130621000076198,한국전통문화대학교 경쟁력 강화(Ⅰ-3-②),P2000320140620000081779,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)>>한국전통문화대학교 경쟁력 강화(Ⅰ-3-②)"
20,P2000220140321000069340,문화유산 세계화로 문화국가 품격을 제고한다.,P2000120140320000078952,전략목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다."
21,P2000320140620000081795,세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1),P2000220140321000069340,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)"
22,P2000420140620000081846,국외소재 문화재 환수·활용기반 확대(Ⅲ-1-②),P2000320140620000081795,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)>>국외소재 문화재 환수·활용기반 확대(Ⅲ-1-②)"
23,P2000420140620000081858,문화재 교류를 통한 민족동질성 회복(Ⅲ-1-③),P2000320140620000081795,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)>>문화재 교류를 통한 민족동질성 회복(Ⅲ-1-③)"
24,P2000420140620000081859,아리랑 전승 기반구축 및 가치 확산(Ⅲ-1-④),P2000320140620000081795,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)>>아리랑 전승 기반구축 및 가치 확산(Ⅲ-1-④)"
25,P2000420140620000081825,유네스코 등재유산 확대 및 가치보존(Ⅲ-1-①),P2000320140620000081795,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)>>유네스코 등재유산 확대 및 가치보존(Ⅲ-1-①)"
26,P2000220140321000069339,문화유산 향유기반을 넓혀 국민 행복지수를 높인다.,P2000120140320000078952,전략목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다."
27,P2000320140620000081800,문화유산 디지털 콘텐츠 서비스를 확충한다(Ⅱ-2),P2000220140321000069339,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화유산 디지털 콘텐츠 서비스를 확충한다(Ⅱ-2)"
28,P2000420140620000081861,국민중심의 문화유산 콘텐츠 활용 확대(Ⅱ-2-②),P2000320140620000081800,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화유산 디지털 콘텐츠 서비스를 확충한다(Ⅱ-2)>>국민중심의 문화유산 콘텐츠 활용 확대(Ⅱ-2-②)"
29,P2000420130621000076209,디지털 문화유산 콘텐츠 제작 활용(Ⅱ-2-③),P2000320140620000081800,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화유산 디지털 콘텐츠 서비스를 확충한다(Ⅱ-2)>>디지털 문화유산 콘텐츠 제작 활용(Ⅱ-2-③)"
30,P2000420140620000081860,문화유산디지털 DB구축 및 대국민 서비스 제고(Ⅱ-2-①),P2000320140620000081800,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화유산 디지털 콘텐츠 서비스를 확충한다(Ⅱ-2)>>문화유산디지털 DB구축 및 대국민 서비스 제고(Ⅱ-2-①)"
31,P2000320140620000081801,문화재 보호 활용의 다양성을 제고한다(Ⅱ-3),P2000220140321000069339,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 보호 활용의 다양성을 제고한다(Ⅱ-3)"
32,P2000420140620000081880,무형유산의 창조적 계승과 가치 확산(Ⅱ-3-③),P2000320140620000081801,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 보호 활용의 다양성을 제고한다(Ⅱ-3)>>무형유산의 창조적 계승과 가치 확산(Ⅱ-3-③)"
33,P2000420140620000081879,문화유산 교육 체험 활성화(Ⅱ-3-②),P2000320140620000081801,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 보호 활용의 다양성을 제고한다(Ⅱ-3)>>문화유산 교육 체험 활성화(Ⅱ-3-②)"
34,P2000420140620000081878,문화재 보호 활용 민간참여 확대(Ⅱ-3-①),P2000320140620000081801,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 보호 활용의 다양성을 제고한다(Ⅱ-3)>>문화재 보호 활용 민간참여 확대(Ⅱ-3-①)"
35,P2000420140620000081881,문화재보호기금 확충(Ⅱ-3-④),P2000320140620000081801,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 보호 활용의 다양성을 제고한다(Ⅱ-3)>>문화재보호기금 확충(Ⅱ-3-④)"
36,P2000320140620000081799,문화재 활용자원을 확대하고 관람환경을 고품격화 한다(Ⅱ-1),P2000220140321000069339,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 활용자원을 확대하고 관람환경을 고품격화 한다(Ⅱ-1)"
37,P2000420130621000076204,서원·향교 문화유산 관광자원화(Ⅱ-1-③),P2000320140620000081799,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 활용자원을 확대하고 관람환경을 고품격화 한다(Ⅱ-1)>>서원·향교 문화유산 관광자원화(Ⅱ-1-③)"
38,P2000420140620000081808,역사 문화브랜드 가치 제고(Ⅱ-1-①),P2000320140620000081799,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 활용자원을 확대하고 관람환경을 고품격화 한다(Ⅱ-1)>>역사 문화브랜드 가치 제고(Ⅱ-1-①)"
39,P2000420130621000076202,조선왕궁·왕릉 복원 및 개방 확대(Ⅱ-1-②),P2000320140620000081799,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 활용자원을 확대하고 관람환경을 고품격화 한다(Ⅱ-1)>>조선왕궁·왕릉 복원 및 개방 확대(Ⅱ-1-②)"
40,P2000420140620000081812,조선왕실문화 보존 및 활용 극대화(Ⅱ-1-④),P2000320140620000081799,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다.>>문화재 활용자원을 확대하고 관람환경을 고품격화 한다(Ⅱ-1)>>조선왕실문화 보존 및 활용 극대화(Ⅱ-1-④)"
41,P2000120170619000095888,1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호, ,임무,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호
42,P2000220170912000097331,"금융소비자를 보호하고, 공정한 시장질서를 확립한다.",P2000120170619000095888,전략목표,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다."
43,P2000320170919000097804,공정한 시장질서를 확립한다.,P2000220170912000097331,성과목표,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>공정한 시장질서를 확립한다."
44,P2000420170921000097925,개인신용평가 체계 개선,P2000320170919000097804,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>공정한 시장질서를 확립한다.>>개인신용평가 체계 개선"
45,P2000420170921000097924,주가조작 등 불공정 거래 근절,P2000320170919000097804,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>공정한 시장질서를 확립한다.>>주가조작 등 불공정 거래 근절"
46,P2000420170921000097923,회계투명성 및 신뢰성 확보,P2000320170919000097804,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>공정한 시장질서를 확립한다.>>회계투명성 및 신뢰성 확보"
47,P2000320170919000097803,금융공급자 투명성을 강화한다.,P2000220170912000097331,성과목표,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>금융공급자 투명성을 강화한다."
48,P2000420170921000097920,금융그룹 통합감독 방안 마련,P2000320170919000097803,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>금융공급자 투명성을 강화한다.>>금융그룹 통합감독 방안 마련"
49,P2000420170921000097922,금융전산 보안관리 역량 강화,P2000320170919000097803,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>금융공급자 투명성을 강화한다.>>금융전산 보안관리 역량 강화"
50,P2000420170921000097921,금융회사 지배구조 개선,P2000320170919000097803,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>금융공급자 투명성을 강화한다.>>금융회사 지배구조 개선"
51,P2000320170919000097802,금융소비자 보호를 강화한다.,P2000220170912000097331,성과목표,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>금융소비자 보호를 강화한다."
52,P2000420170921000097919,금융교육 강화,P2000320170919000097802,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>금융소비자 보호를 강화한다.>>금융교육 강화"
53,P2000420170921000097917,금융소비자보호법 제정 등 금융소비자보호 강화,P2000320170919000097802,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>금융소비자 보호를 강화한다.>>금융소비자보호법 제정 등 금융소비자보호 강화"
54,P2000420170921000097918,스튜어드십코드 확산,P2000320170919000097802,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융소비자를 보호하고, 공정한 시장질서를 확립한다.>>금융소비자 보호를 강화한다.>>스튜어드십코드 확산"
55,P2000220170912000097330,금융시장 리스크를 선제적으로 관리한다.,P2000120170619000095888,전략목표,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.
56,P2000320170919000097799,가계부채 관리를 강화한다.,P2000220170912000097330,성과목표,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>가계부채 관리를 강화한다.
57,P2000420170921000097909,비소구대출 등 정책모기지 공급 확대,P2000320170919000097799,관리과제,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>가계부채 관리를 강화한다.>>비소구대출 등 정책모기지 공급 확대
58,P2000420170921000097908,총체적 상환능력심사제 도입,P2000320170919000097799,관리과제,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>가계부채 관리를 강화한다.>>총체적 상환능력심사제 도입
59,P2000320170919000097801,금융시장 안정을 강화한다.,P2000220170912000097330,성과목표,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>금융시장 안정을 강화한다.
60,P2000420170921000097914,단기금융시장 활성화 추진,P2000320170919000097801,관리과제,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>금융시장 안정을 강화한다.>>단기금융시장 활성화 추진
61,P2000420170921000097912,"리스크요인에 대한 점검, 대응체계 강화",P2000320170919000097801,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>금융시장 안정을 강화한다.>>리스크요인에 대한 점검, 대응체계 강화"
62,P2000420170921000097913,보험계약 회계기준 연착륙,P2000320170919000097801,관리과제,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>금융시장 안정을 강화한다.>>보험계약 회계기준 연착륙
63,P2000420170921000097915,예금보험제도 개선,P2000320170919000097801,관리과제,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>금융시장 안정을 강화한다.>>예금보험제도 개선
64,P2000420170921000097916,우리은행 잔여지분 매각방안 마련,P2000320170919000097801,관리과제,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>금융시장 안정을 강화한다.>>우리은행 잔여지분 매각방안 마련
65,P2000320170919000097800,한계기업을 구조조정한다.,P2000220170912000097330,성과목표,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>한계기업을 구조조정한다.
66,P2000420170921000097910,상시 기업구조조정 추진,P2000320170919000097800,관리과제,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>한계기업을 구조조정한다.>>상시 기업구조조정 추진
67,P2000420170921000097911,해운업 재건을 위한 금융지원 강화,P2000320170919000097800,관리과제,2017-09-25,금융위원회,1160100,>>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>금융시장 리스크를 선제적으로 관리한다.>>한계기업을 구조조정한다.>>해운업 재건을 위한 금융지원 강화
68,P2000220170912000097329,"서민, 취약계층의 금융부담을 완화하고, 소득증대를 지원한다.",P2000120170619000095888,전략목표,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>서민, 취약계층의 금융부담을 완화하고, 소득증대를 지원한다."
69,P2000320170919000097797,서민 금융부담을 완화한다.,P2000220170912000097329,성과목표,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>서민, 취약계층의 금융부담을 완화하고, 소득증대를 지원한다.>>서민 금융부담을 완화한다."
70,P2000420170919000097824,법정 최고금리의 단계적 인하,P2000320170919000097797,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>서민, 취약계층의 금융부담을 완화하고, 소득증대를 지원한다.>>서민 금융부담을 완화한다.>>법정 최고금리의 단계적 인하"
71,P2000420170919000097826,사잇돌 대출 확대,P2000320170919000097797,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>서민, 취약계층의 금융부담을 완화하고, 소득증대를 지원한다.>>서민 금융부담을 완화한다.>>사잇돌 대출 확대"
72,P2000420170919000097827,실손의료보험제도 개선,P2000320170919000097797,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>서민, 취약계층의 금융부담을 완화하고, 소득증대를 지원한다.>>서민 금융부담을 완화한다.>>실손의료보험제도 개선"
73,P2000420170919000097825,원스톱 서민금융 지원 체계 구축,P2000320170919000097797,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>서민, 취약계층의 금융부담을 완화하고, 소득증대를 지원한다.>>서민 금융부담을 완화한다.>>원스톱 서민금융 지원 체계 구축"
74,P2000420170919000097823,카드수수료 인하,P2000320170919000097797,관리과제,2017-09-25,금융위원회,1160100,">>1. 금융산업의 선진화 2. 금융시장의 안정 도모 3. 건전한 신용질서·공정한 금융거래 관행 확립 4. 금융소비자 보호>>서민, 취약계층의 금융부담을 완화하고, 소득증대를 지원한다.>>서민 금융부담을 완화한다.>>카드수수료 인하"
