순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
3064,P2000220170625000076911,Ⅱ. 청소년이 안전하고 건강하게 성장하도록 지원한다.,P2000120170330000093328,전략목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅱ. 청소년이 안전하고 건강하게 성장하도록 지원한다."
3065,P2000320170330000093335,Ⅱ-1. 청소년을 위한 맞춤형 사회안전망을 확충한다.,P2000220170625000076911,성과목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅱ. 청소년이 안전하고 건강하게 성장하도록 지원한다.>>Ⅱ-1. 청소년을 위한 맞춤형 사회안전망을 확충한다."
3066,P2000320170330000093333,Ⅱ-2. 청소년 체험활동을 다양화하고 전인적 성장을 지원한다.,P2000220170625000076911,성과목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅱ. 청소년이 안전하고 건강하게 성장하도록 지원한다.>>Ⅱ-2. 청소년 체험활동을 다양화하고 전인적 성장을 지원한다."
3067,P2000320170330000093337,Ⅱ-3. 청소년 친화적 환경을 조성하고 정책기반을 강화한다.,P2000220170625000076911,성과목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅱ. 청소년이 안전하고 건강하게 성장하도록 지원한다.>>Ⅱ-3. 청소년 친화적 환경을 조성하고 정책기반을 강화한다."
3068,P2000220170625000076917,Ⅲ. 일·생활 균형과 다양한 가족의 안정적 삶을 지원한다.,P2000120170330000093328,전략목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅲ. 일·생활 균형과 다양한 가족의 안정적 삶을 지원한다."
3069,P2000320170330000093339,Ⅲ-1. 일·생활 균형을 지원한다.,P2000220170625000076917,성과목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅲ. 일·생활 균형과 다양한 가족의 안정적 삶을 지원한다.>>Ⅲ-1. 일·생활 균형을 지원한다."
3070,P2000420170330000093363,Ⅲ-1-② 가족내 돌봄 지원 강화,P2000320170330000093339,관리과제,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅲ. 일·생활 균형과 다양한 가족의 안정적 삶을 지원한다.>>Ⅲ-1. 일·생활 균형을 지원한다.>>Ⅲ-1-② 가족내 돌봄 지원 강화"
3071,P2000320170330000093340,Ⅲ-2. 한부모·조손 등 다양한 가족에 대한 지원을 강화한다.,P2000220170625000076917,성과목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅲ. 일·생활 균형과 다양한 가족의 안정적 삶을 지원한다.>>Ⅲ-2. 한부모·조손 등 다양한 가족에 대한 지원을 강화한다."
3072,P2000420170330000093364,Ⅲ-2-① 다양한 가족의 가족관계 증진,P2000320170330000093340,관리과제,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅲ. 일·생활 균형과 다양한 가족의 안정적 삶을 지원한다.>>Ⅲ-2. 한부모·조손 등 다양한 가족에 대한 지원을 강화한다.>>Ⅲ-2-① 다양한 가족의 가족관계 증진"
3073,P2000420170330000093365,Ⅲ-2-② 한부모·조손 가족 자녀양육 여건 개선 및 자립역량 강화,P2000320170330000093340,관리과제,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅲ. 일·생활 균형과 다양한 가족의 안정적 삶을 지원한다.>>Ⅲ-2. 한부모·조손 등 다양한 가족에 대한 지원을 강화한다.>>Ⅲ-2-② 한부모·조손 가족 자녀양육 여건 개선 및 자립역량 강화"
